"lead_id","log_budget","log_company","log_sessions","intent_media_planning","intent_media_activation","intent_ad_ops","intent_dd_creative","intent_cro","intent_email_sms","intent_landing_funnel","intent_total","readiness","cluster","segment","next_best_service"
"L0001",8.06243279158319,2.89037175789616,2.56494935746154,0.165502223372459,0.193727113795467,0.2394411502406,0.185311313392594,0.510024225944653,0.327643728081603,0.57083848870825,2.19248824353563,1,"4","CRO & Funnel Builders","CRO + Landing page & Sales Funnel Creation"
"L0002",7.76302130901852,5.38449506278909,2.89037175789616,0.173316104291007,0.134846883965656,0.0814260454382748,0.407456041267142,0.456449563789647,0.211959958565421,0.609142571990378,2.07459716930753,0.45,"4","CRO & Funnel Builders","CRO + Landing page & Sales Funnel Creation"
"L0003",8.61286694148452,4.39444915467244,1.38629436111989,0.423735463188495,0.666828287299722,0.379857681610156,0.225340657529887,0.186284774937667,0.201264988258481,0.19627976140473,2.27959161422914,0.55,"1","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0004",7.98514393119862,3.71357206670431,2.19722457733622,0.235890623601153,0.263516984321177,0.132150964671746,0.390723699331284,0.678740925167222,0.265813285624608,0.611770633910783,2.57860711662797,0.45,"4","CRO & Funnel Builders","CRO + Landing page & Sales Funnel Creation"
"L0005",7.39203156751459,2.77258872223978,2.89037175789616,0.283854188444093,0.145666271238588,0.109224332356825,0.194019771553576,0.244111435685772,0.114876691624522,0.331888640625402,1.42364133152878,0,"3","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0006",8.1371033896393,3.52636052461616,2.484906649788,0.172335052385461,0.0695385883096606,0.178758954326622,0.294258989638183,0.414737444138154,0.45667875331128,0.287629955471493,1.87393773758085,0,"2","CRM Nurture (Email/SMS)","Email & SMS + Dynamic Creative"
"L0007",8.19422930481982,3.68887945411394,2.99573227355399,0.311808088235557,0.279974400729407,0.0971430458594114,0.302969920297619,0.105556830205023,0.238523283647373,0.29970602968242,1.63568159865681,0,"3","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0008",7.6685611080159,3.04452243772342,1.94591014905531,0.55364906337345,0.469571763277054,0.213798136485275,0.318938228511252,0.177399023866747,0.075890737073496,0.193458621238824,2.0027055738261,0,"1","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0009",9.32277580130597,4.94875989037817,1.6094379124341,0.313326164893806,0.121474056877196,0.238982637412846,0.186678442952689,0.258887216472067,0.221186632895842,0.431218985561281,1.77175413706573,0,"3","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0010",8.32360844234357,3.98898404656427,4.18965474202643,0.211687147943303,0.305792469787411,0.178879280434921,0.231975570227951,0.272021415899508,0.168240329856053,0.184141455357894,1.55273766950704,0,"3","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
"L0011",7.58375630070711,2.56494935746154,2.30258509299405,0.121136522875167,0.0582803142257035,0.192380785022397,0.337188238929957,0.336046472168528,0.509924287779722,0.241124244313687,1.79608086531516,0.45,"2","CRM Nurture (Email/SMS)","Email & SMS + Dynamic Creative"
"L0012",7.59739632021279,4.43081679884331,2.39789527279837,0.367470424063504,0.233372877258807,0.189261833205819,0.111314375675283,0.106203650031239,0.336499635095242,0.36080446424894,1.70492725957884,0.55,"3","Explorers (Planning + Mixed)","Media Planning (diagnóstico) + roadmap de Growth"
